2024-04-14 13:42 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.9432 | Acc: 72.46%
2024-04-14 13:52 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 1.7367 | Acc: 69.92%
2024-04-14 13:52 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.0120 | Acc: 100.00%
2024-04-14 13:53 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 1.7458 | Acc: 73.91%
2024-04-14 13:53 after_fed Round:   6 | Epochs:  30 | Domain: v | loss: 1.1429 | Acc: 66.53%
2024-04-14 13:53 after_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.3967 | Acc: 88.00%
2024-04-14 13:53 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 1.0206 | Acc: 67.39%
2024-04-14 13:53 test_domain Round:   6 | Epochs:  30 | Domain: l | loss: 2.5553 | Acc: 54.96%
2024-04-14 13:53 before_fed Round:   7 | Epochs:  35 | Domain: v | loss: 1.5806 | Acc: 70.76%
2024-04-14 13:54 before_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.0036 | Acc: 100.00%
2024-04-14 13:54 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 2.8105 | Acc: 71.30%
2024-04-14 13:54 after_fed Round:   7 | Epochs:  35 | Domain: v | loss: 1.1026 | Acc: 72.46%
2024-04-14 13:54 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.5409 | Acc: 81.00%
2024-04-14 13:54 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 1.0345 | Acc: 71.30%
2024-04-14 13:54 Model saved! Best Val Acc: 73.48%
2024-04-14 13:54 test_domain Round:   7 | Epochs:  35 | Domain: l | loss: 3.7622 | Acc: 52.32%
2024-04-14 13:55 before_fed Round:   8 | Epochs:  40 | Domain: v | loss: 1.2315 | Acc: 75.00%
2024-04-14 13:55 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.2763 | Acc: 92.00%
2024-04-14 13:56 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 1.8381 | Acc: 72.17%
2024-04-14 13:56 after_fed Round:   8 | Epochs:  40 | Domain: v | loss: 1.4625 | Acc: 72.03%
2024-04-14 13:56 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.5304 | Acc: 88.00%
2024-04-14 13:56 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 1.3762 | Acc: 73.04%
2024-04-14 13:56 Model saved! Best Val Acc: 75.24%
2024-04-14 13:56 test_domain Round:   8 | Epochs:  40 | Domain: l | loss: 4.5803 | Acc: 58.97%
2024-04-14 13:56 before_fed Round:   9 | Epochs:  45 | Domain: v | loss: 1.3467 | Acc: 77.12%
2024-04-14 13:57 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.2710 | Acc: 94.00%
2024-04-14 13:57 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 1.5118 | Acc: 73.48%
2024-04-14 13:57 after_fed Round:   9 | Epochs:  45 | Domain: v | loss: 1.4344 | Acc: 72.88%
2024-04-14 13:57 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.4965 | Acc: 88.00%
2024-04-14 13:57 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 1.2002 | Acc: 75.65%
2024-04-14 13:57 Model saved! Best Val Acc: 76.65%
2024-04-14 13:57 test_domain Round:   9 | Epochs:  45 | Domain: l | loss: 3.4052 | Acc: 60.98%
2024-04-14 13:58 before_fed Round:  10 | Epochs:  50 | Domain: v | loss: 1.3209 | Acc: 79.24%
2024-04-14 13:58 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.2438 | Acc: 94.00%
2024-04-14 13:59 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 1.6129 | Acc: 72.61%
2024-04-14 13:59 after_fed Round:  10 | Epochs:  50 | Domain: v | loss: 1.3896 | Acc: 73.73%
2024-04-14 13:59 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.5001 | Acc: 88.00%
2024-04-14 13:59 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 1.2486 | Acc: 74.35%
2024-04-14 13:59 test_domain Round:  10 | Epochs:  50 | Domain: l | loss: 3.6997 | Acc: 60.48%
